;;10s;;;;;;;;;;;15s;;;;;;;;;;;30s;;;;;;;;;;;;;
;SmO2 max;Maximal muscle oxygen saturation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ΔSmO2;Change in muscle oxygen saturation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;t1/2 (s);half time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MRT τ (s);mean response time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time to desaturation at Physiological baseline ;Time to desaturation at Physiological baseline ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Linear Desaturation (SmO2/s) first 10s of EXERCISE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAX Linear Rate desaturation (SmO2/s) EXERCISE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Linear Rate Resaturation first 18s post Exercise based on Mean τ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAX Linear Rate resaturation (SmO2/s) RECOVERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mono-exponential r2 (60s recovery);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
